/M1/D (Wp=2e-06) X,/M1/D (Wp=2e-06) Y,/M1/D (Wp=3.6e-06) X,/M1/D (Wp=3.6e-06) Y,/M1/D (Wp=5.2e-06) X,/M1/D (Wp=5.2e-06) Y,/M1/D (Wp=6.8e-06) X,/M1/D (Wp=6.8e-06) Y,/M1/D (Wp=8.4e-06) X,/M1/D (Wp=8.4e-06) Y,/M1/D (Wp=1e-05) X,/M1/D (Wp=1e-05) Y
0.9600000000000003,0.0002310703364619326,0.9600000000000003,0.0004148441062393416,0.9600000000000003,0.0005986215685673366,0.9600000000000003,0.0007823994664405511,0.9600000000000003,0.0009661770306762144,0.9600000000000003,0.001149953985422879
1,0.0002344870275917786,1,0.0004209940018128186,1,0.0006075046802074223,1,0.0007940157930923356,1,0.0009805265682865908,1,0.001167036728862839
1.04,0.0002379143172355081,1.04,0.0004271632533372317,1.04,0.0006164159046409224,1.04,0.0008056689893287687,1.04,0.0009949217323496169,1.04,0.001184173855746087
1.08,0.0002413534824407837,1.08,0.0004333541417373598,1.08,0.0006253585267543135,1.08,0.0008173633440148419,1.08,0.001009367815709745,1.08,0.001201371662891734
1.12,0.0002448056052602248,1.12,0.0004395685999189657,1.12,0.0006343353303745568,1.12,0.0008291024919111873,1.12,0.00102386930406058,1.12,0.001218635486921053
1.16,0.0002482716107941061,1.16,0.0004458082806364233,1.16,0.0006433486959651901,1.16,0.0008408895411993836,1.16,0.00103843003329982,1.16,0.001235969891441972
1.2,0.0002517522967123687,1.2,0.0004520746091657126,1.2,0.0006524006764529315,1.2,0.0008527271724629738,1.2,0.001053053311664744,1.2,0.001253378812339198
1.24,0.000255248356349237,1.24,0.0004583688245139546,1.24,0.0006614930565541869,1.24,0.0008646177161313752,1.24,0.001067742015293863,1.24,0.001270865671453632
1.28,0.0002587603969034759,1.28,0.0004646920118983347,1.28,0.0006706273995342558,1.28,0.000876563213519896,1.28,0.001082498663547788,1.28,0.001288433466184223
1.320000000000001,0.0002622889538807104,1.320000000000001,0.0004710451285209344,1.320000000000001,0.0006798050843159069,1.320000000000001,0.0008885654652723868,1.320000000000001,0.001097325478786268,1.320000000000001,0.001306084840599321
1.360000000000001,0.0002658345026295911,1.360000000000001,0.0004774290241583769,1.360000000000001,0.0006890273351235779,1.360000000000001,0.0009006260700602553,1.360000000000001,0.001112224434122014,1.360000000000001,0.001323822142245541
1.400000000000001,0.0002693974676158494,1.400000000000001,0.000483844457715091,1.400000000000001,0.0006982952453165738,1.400000000000001,0.0009127464556959541,1.400000000000001,0.00112719729181459,1.400000000000001,0.001341647467822044
1.440000000000001,0.0002729782299252374,1.440000000000001,0.0004902921106160005,1.440000000000001,0.000707609796672195,1.440000000000001,0.0009249279043066519,1.440000000000001,0.00114224563433483,1.440000000000001,0.00135956270013582
1.480000000000001,0.0002765771333721736,1.480000000000001,0.0004967725977109379,1.480000000000001,0.0007169718750864944,1.480000000000001,0.0009371715728315298,1.480000000000001,0.001157370889658726,1.480000000000001,0.001377569538192134
1.520000000000001,0.0002801944895050886,1.520000000000001,0.0005032864762099902,1.520000000000001,0.0007263822834399872,1.520000000000001,0.0009494785098180454,1.520000000000001,0.00117257435199427,1.520000000000001,0.001395669521852098
1.560000000000001,0.0002838305817343854,1.560000000000001,0.0005098342530528165,1.560000000000001,0.0007358417522087342,1.560000000000001,0.0009618496692748565,1.560000000000001,0.001187857198876358,1.560000000000001,0.00141386405216955
1.600000000000001,0.0002874856687591634,1.600000000000001,0.0005164163910263852,1.600000000000001,0.000745350948273357,1.600000000000001,0.0009742859221722532,1.600000000000001,0.001203220505358692,1.600000000000001,0.001432154408274428
